SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1556.80,1556.80,1510.00,1520.10,1521.80,1523.75,767,9411,14373378.00,,INE117A01022,02-Mar-21,,
500003,AEGIS LOGIS ,A ,Q,326.50,329.50,319.15,323.25,322.40,322.00,1625,59554,19320738.00,,INE208C01025,02-Mar-21,,
500008,AMAR RAJA BA,A ,Q,907.00,910.90,896.85,908.40,906.75,899.70,1166,37982,34297068.00,,INE885A01032,02-Mar-21,,
500009,A.SARABHAI  ,X ,Q,20.95,20.95,19.55,19.85,19.75,20.35,190,53137,1074099.00,,INE432A01017,02-Mar-21,,
500010,HDFC        ,A ,Q,2619.00,2619.00,2542.00,2564.90,2564.90,2607.30,14469,147854,379599099.00,,INE001A01036,02-Mar-21,,
500012,ANDHRA PETRO,X ,Q,68.50,69.10,66.60,69.10,69.10,65.85,1258,449249,30931471.00,,INE714B01016,02-Mar-21,,
500013,ANSAL INFRAS,B ,Q,7.85,8.30,7.60,8.30,8.30,7.91,128,58425,469659.00,,INE436A01026,02-Mar-21,,
500014,UTIQUE      ,X ,Q,1.85,1.85,1.85,1.85,1.85,1.77,19,15039,27822.00,,INE096A01010,02-Mar-21,,
500016,ARUNAHTEL   ,XT,Q,6.38,6.38,6.38,6.38,6.38,6.30,2,4,25.00,,INE957C01019,02-Mar-21,,
500020,BOM DYEING  ,A ,Q,76.80,83.15,75.75,80.05,80.05,76.20,6056,1097784,87709339.00,,INE032A01023,02-Mar-21,,
500023,ASIANHOTNR  ,B ,Q,72.65,72.65,70.20,71.80,71.80,71.00,163,5292,379552.00,,INE363A01022,02-Mar-21,,
500027,ATUL LTD.   ,A ,Q,6611.05,6636.35,6520.00,6622.35,6607.95,6583.55,238,685,4511086.00,,INE100A01010,02-Mar-21,,
500028,ATV PROJECTS,XT,Q,4.50,4.58,4.50,4.58,4.58,4.37,48,8176,37418.00,,INE447A01015,02-Mar-21,,
500029,AUTOLITE(I) ,Z ,Q,27.60,27.90,27.00,27.05,27.00,27.00,19,5627,152245.00,,INE448A01013,02-Mar-21,,
500031,BAJAJ ELECT.,A ,Q,1005.00,1024.70,990.90,999.00,999.00,989.15,634,9469,9530426.00,,INE193E01025,02-Mar-21,,
500032,BAJAJHIND   ,A ,Q,6.31,6.58,6.31,6.53,6.53,6.28,1887,1209523,7839773.00,,INE306A01021,02-Mar-21,,
500033,FORCE MOTR  ,A ,Q,1307.00,1328.55,1306.00,1311.70,1316.00,1312.40,897,4973,6533023.00,,INE451A01017,02-Mar-21,,
500034,BAJFINANCE  ,A ,Q,5308.00,5410.00,5262.00,5307.95,5307.95,5266.70,7346,82281,438262159.00,,INE296A01024,02-Mar-21,,
500038,BALRAM.CHINI,A ,Q,181.00,193.35,181.00,189.10,188.20,180.85,2588,200434,37630548.00,,INE119A01028,02-Mar-21,,
500039,BANCO PROD. ,B ,Q,155.15,159.00,154.20,156.80,157.00,154.20,4637,83535,13068587.00,,INE213C01025,02-Mar-21,,
500040,CENTURY TEXT,A ,Q,491.30,526.25,486.85,519.15,519.15,487.20,2778,122365,61369243.00,,INE055A01016,02-Mar-21,,
500041,BANNARI AMAN,A ,Q,1804.20,1825.00,1796.60,1806.90,1806.90,1780.20,14,18,32518.00,,INE459A01010,02-Mar-21,,
500042,BASF INDIA  ,A ,Q,1926.45,2195.00,1917.95,2103.40,2103.40,1898.70,3216,16468,34523482.00,,INE373A01013,02-Mar-21,,
500043,BATA INDIA  ,A ,Q,1478.30,1500.00,1467.80,1495.80,1499.00,1470.00,2828,37851,56211262.00,,INE176A01028,02-Mar-21,,
500048,BEML LTD    ,A ,Q,1170.15,1244.50,1160.15,1226.40,1226.40,1166.10,5479,102745,124882440.00,,INE258A01016,02-Mar-21,,
500049,BHARAT ELECT,A ,Q,147.90,153.55,146.50,151.45,151.45,145.90,11594,2174645,327082324.00,,INE263A01024,02-Mar-21,,
500052,BHANSALI ENG,A ,Q,142.00,144.60,138.00,142.30,142.30,138.35,2833,587213,82867434.00,,INE922A01025,02-Mar-21,,
500055,TATASTLBSL  ,B ,Q,47.70,47.70,46.65,47.30,47.30,47.05,1487,525305,24809900.00,,INE824B01021,02-Mar-21,,
500060,BIRLACABLE  ,B ,Q,60.50,61.90,59.95,60.65,61.40,60.65,169,9742,591878.00,,INE800A01015,02-Mar-21,,
500067,BLUE STAR   ,A ,Q,885.00,929.35,877.35,909.20,900.75,860.25,1617,20238,18195428.00,,INE472A01039,02-Mar-21,,
500068,DISA INDIA  ,X ,Q,4750.50,5000.00,4550.00,4854.80,4854.80,4536.85,284,1515,7286210.00,,INE131C01011,02-Mar-21,,
500069,BNK CAPITAL ,X ,Q,105.00,110.10,104.00,110.10,110.10,107.25,59,8621,913865.00,,INE418C01012,02-Mar-21,,
500074,BPL LTD.    ,B ,Q,21.40,23.25,20.65,23.25,23.25,21.15,387,96214,2190494.00,,INE110A01019,02-Mar-21,,
500078,OAL         ,B ,Q,604.10,606.25,591.95,600.10,605.55,602.35,416,3648,2189673.00,,INE959C01023,02-Mar-21,,
