Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
509077,,PRESSMN,Pressman Advertising Limited,Active,B ,2,INE980A01023,Advertising & Media,Equity
526441,,VISIONCINE,VISION CINEMAS LTD.,Active,X ,1,INE515B01025,Advertising & Media,Equity
531259,,ESHAMEDIA,Esha Media Research Limited,Active,XT,10,INE328F01016,Advertising & Media,Equity
531637,,PRAVEG,Praveg Communications (India) Ltd,Active,X ,10,INE722B01019,Advertising & Media,Equity
532798,,NETWORK18,NETWORK18 MEDIA & INVESTMENTS LTD.,Active,A ,5,INE870H01013,Advertising & Media,Equity
539310,,THINKINK,Thinkink Picturez Ltd,Active,B ,5,INE365S01037,Advertising & Media,Equity
540789,,DNAMEDIA,Diligent Media Corporation Ltd,Active,B ,1,INE016M01021,Advertising & Media,Equity
541799,,SMEL,Sungold Media and Entertainment Ltd,Active,M ,10,INE266S01011,Advertising & Media,Equity
542752,,AFFLE,Affle (India) Ltd,Active,B ,10,INE00WC01019,Advertising & Media,Equity
500112,,SBIN,STATE BANK OF INDIA,Active,A ,1,INE062A01020,Banks,Equity
500116,,IDBI,IDBI BANK LTD.,Active,A ,10,INE008A01015,Banks,Equity
500180,,HDFCBANK,HDFC Bank Ltd,Active,A ,1,INE040A01034,Banks,Equity
500247,,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5,INE237A01028,Banks,Equity
500469,,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2,INE171A01029,Banks,Equity
532134,,BANKBARODA,BANK OF BARODA,Active,A ,2,INE028A01039,Banks,Equity
532149,,BANKINDIA,BANK OF INDIA,Active,A ,10,INE084A01016,Banks,Equity
532174,,ICICIBANK,ICICI BANK LTD.,Active,A ,2,INE090A01021,Banks,Equity
532180,,DHANBANK,Dhanlaxmi Bank Limited,Active,B ,10,INE680A01011,Banks,Equity
532187,,INDUSINDBK,INDUSIND BANK LTD.,Active,A ,10,INE095A01012,Banks,Equity
532209,,J&KBANK,JAMMU & KASHMIR BANK LTD.,Active,A ,1,INE168A01041,Banks,Equity
532210,,CUB,CITY UNION BANK LTD.,Active,A ,1,INE491A01021,Banks,Equity
532215,,AXISBANK,AXIS BANK LTD.,Active,A ,2,INE238A01034,Banks,Equity
532218,,SOUTHBANK,SOUTH INDIAN BANK LTD.,Active,A ,1,INE683A01023,Banks,Equity
532388,,IOB,INDIAN OVERSEAS BANK,Active,A ,10,INE565A01014,Banks,Equity
532461,,PNB,PUNJAB NATIONAL BANK,Active,A ,2,INE160A01022,Banks,Equity
532477,,UNIONBANK,UNION BANK OF INDIA,Active,A ,10,INE692A01016,Banks,Equity
532483,,CANBK,CANARA BANK,Active,A ,10,INE476A01014,Banks,Equity
532505,,UCOBANK,UCO BANK,Active,A ,10,INE691A01018,Banks,Equity
532525,,MAHABANK,BANK OF MAHARASHTRA,Active,A ,10,INE457A01014,Banks,Equity
532648,,YESBANK,YES BANK LTD.,Active,A ,2,INE528G01035,Banks,Equity
532652,,KTKBANK,KARNATAKA BANK LTD.,Active,A ,10,INE614B01018,Banks,Equity
532772,,DCBBANK,DCB Bank Limited,Active,A ,10,INE503A01015,Banks,Equity
532814,,INDIANB,INDIAN BANK,Active,A ,10,INE562A01011,Banks,Equity
532885,,CENTRALBK,CENTRAL BANK OF INDIA,Active,A ,10,INE483A01010,Banks,Equity
533295,,PSB,PUNJAB & SIND BANK,Active,B ,10,INE608A01012,Banks,Equity
539437,,IDFCFIRSTB,IDFC First Bank Ltd,Active,A ,10,INE092T01019,Banks,Equity
540065,,RBLBANK,RBL Bank Ltd,Active,A ,10,INE976G01028,Banks,Equity
540611,,AUBANK,AU Small Finance Bank Ltd,Active,A ,10,INE949L01017,Banks,Equity
541153,,BANDHANBNK,Bandhan Bank Ltd,Active,A ,10,INE545U01014,Banks,Equity
542867,,CSBBANK,CSB Bank Ltd,Active,B ,10,INE679A01013,Banks,Equity
542904,,UJJIVANSFB,Ujjivan Small Finance Bank Ltd,Active,B ,10,INE551W01018,Banks,Equity
543243,,EQUITASBNK,Equitas Small Finance Bank Ltd,Active,B ,10,INE063P01018,Banks,Equity
590003,,KARURVYSYA,KARUR VYSYA BANK LTD.,Active,B ,2,INE036D01028,Banks,Equity
507155,,JAGAJITIND,JAGATJIT INDUSTRIES LTD.,Active,XT,10,INE574A01016,Breweries & Distilleries,Equity
507205,,TI,TILAKNAGAR INDUSTRIES LTD.-$,Active,B ,10,INE133E01013,Breweries & Distilleries,Equity
507435,,KHODAY,KHODAY INDIA LTD.-$,Active,XT,10,INE687B01014,Breweries & Distilleries,Equity
507438,,IFBAGRO,IFB AGRO INDUSTRIES LTD.,Active,B ,10,INE076C01018,Breweries & Distilleries,Equity
507488,,GMBREW,G.M.BREWERIES LTD.,Active,B ,10,INE075D01018,Breweries & Distilleries,Equity
507514,,SDBL,SOM DISTILLERIES & BREWERIES LTD.,Active,B ,5,INE480C01020,Breweries & Distilleries,Equity
507522,,MOUNTSHIQ,MOUNT SHIVALIK INDUSTRIES LTD.-$,Active,Z ,10,INE410C01019,Breweries & Distilleries,Equity
507526,,ASALCBR,ASSOCIATED ALCOHOLS & BREWERIES LTD.,Active,B ,10,INE073G01016,Breweries & Distilleries,Equity
526471,,WINSOMBR,WINSOME BREWERIES LTD.,Active,XT,10,INE391C01011,Breweries & Distilleries,Equity
531635,,SILVOAK,SILVER OAK (INDIA) LTD.,Active,XT,10,INE870J01019,Breweries & Distilleries,Equity
531879,,PIONDIST,PIONEER DISTILLERIES LTD.,Active,B ,10,INE889E01010,Breweries & Distilleries,Equity
532432,,UNITDSPR,UNITED SPIRITS LTD.,Active,B ,2,INE854D01024,Breweries & Distilleries,Equity
532478,,UBL,UNITED BREWERIES LTD.-$,Active,A ,1,INE686F01025,Breweries & Distilleries,Equity
532497,,RADICO,RADICO KHAITAN LTD.,Active,A ,2,INE944F01028,Breweries & Distilleries,Equity
533104,,GLOBUSSPR,GLOBUS SPIRITS LTD.,Active,B ,10,INE615I01010,Breweries & Distilleries,Equity
533294,,RKDL,RAVI KUMAR DISTILLERIES LTD.,Active,B ,10,INE722J01012,Breweries & Distilleries,Equity
500189,,NXTDIGITAL,Nxtdigital Ltd,Active,B ,10,INE353A01023,Broadcasting & Cable TV,Equity
503691,,SAHARA,SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$,Active,X ,10,INE479B01016,Broadcasting & Cable TV,Equity
505537,,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.,Active,A ,1,INE256A01028,Broadcasting & Cable TV,Equity
509073,,HATHWAYB,HATHWAY BHAWANI CABLETEL & DATACOM LTD.,Active,XT,10,INE525B01016,Broadcasting & Cable TV,Equity
521062,,OCTAVE,Perfect-Octave Media Projects Ltd,Active,X ,10,INE814L01013,Broadcasting & Cable TV,Equity
532033,,JAINSTUDIO,JAIN STUDIOS LTD.,Active,Z ,10,INE486B01011,Broadcasting & Cable TV,Equity
532382,,BALAJITELE,BALAJI TELEFILMS LTD.,Active,B ,2,INE794B01026,Broadcasting & Cable TV,Equity
532507,,BAGFILMS,B.A.G.FILMS & MEDIA LTD.,Active,B ,2,INE116D01028,Broadcasting & Cable TV,Equity
532515,,TVTODAY,TV TODAY NETWORK LTD.,Active,A ,5,INE038F01029,Broadcasting & Cable TV,Equity
532529,,NDTV,NEW DELHI TELEVISION LTD.,Active,B ,4,INE155G01029,Broadcasting & Cable TV,Equity
