StockId,StockName,Company,Industry
,
ANIKINDS,ANIKINDS,ANIK INDUSTRIES LTD.,Other Agricultural Products
BSELINFRA,BSELINFRA,BSEL INFRASTRUCTURE REALTY LTD.,Realty
COUNCODOS,COUNCODOS,COUNTRY CONDO&#39;S LTD.,Realty
DIGISPICE,DIGISPICE,Digispice Technologies Ltd-$,Telecom Equipment
DPSCLTD,DPSCLTD
FCSSOFT,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,IT Consulting & Software
GAL,GAL,GYSCOAL ALLOYS LTD.,Iron & Steel/Interm.Products
GENUSPAPER,GENUSPAPER,Genus Paper & Boards Ltd,Paper & Paper Products
GSS,GSS,GSS INFOTECH LTD.,IT Consulting & Software
GTLINFRA,GTLINFRA,GTL INFRASTRUCTURE LTD.,Telecom Equipment
HCL-INSYS,HCL-INSYS,HCL INFOSYSTEMS LTD.,Computer Hardware
KRIDHANINF,KRIDHANINF
LSIL,LSIL
MANAKSTEEL,MANAKSTEEL
MANUGRAPH,MANUGRAPH,MANUGRAPH INDIA LTD.-$,Industrial Machinery
NILASPACES,NILASPACES,Nila Spaces Ltd,Realty
RAMCOSYS,RAMCOSYS,RAMCO SYSTEMS LTD.,IT Consulting & Software
RSSOFTWARE,RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,IT Software Products
RTNINFRA,RTNINFRA,RattanIndia Infrastructure Limited,Electric Utilities
RTNPOWER,RTNPOWER,RattanIndia Power Limited,Electric Utilities
SHIL,SHIL,Somany Home Innovation Ltd,Other Elect.Equip./ Prod.
SHYAMCENT,SHYAMCENT
SICAGEN,SICAGEN,SICAGEN INDIA LTD.,Comm.Trading  & Distribution
SUNDARAM,SUNDARAM,SUNDARAM MULTI PAP LTD.,Comm.Printing/Stationery
SURANASOL,SURANASOL,Surana Solar Limited,Electronic Components
Symbol,Symbol
TERASOFT,TERASOFT,TERA SOFTWARE LTD.,IT Consulting & Software
TEXMOPIPES,TEXMOPIPES,TEXMO PIPES & PRODUCTS LTD.,Plastic Products
UJAAS,UJAAS,Ujaas Energy Limited,Heavy Electrical Equipment
URJA,URJA
VAISHALI,VAISHALI
VIKASPROP,VIKASPROP,Vikas Proppant & Granite Ltd,Other Agricultural Products
VISASTEEL,VISASTEEL,VISA STEEL LTD.,Iron & Steel/Interm.Products
VSSL,VSSL,VARDHMAN SPECIAL STEELS LTD.,Iron & Steel Products
