ISIN-CODE,NSE-CODE,buy-date,buy-price,sell-date,sell-price,buy-share-count,returns-share-count,invested,cumulative-returns,n-return-times,CAGR,corporate-action-count
INE131B01039,RELAXO,01-04-2009,29,13-03-2020,648.55,"1,742","34,840","50,000","2,25,95,482",451,66,3
INE006I01046,ASTRAL,01-04-2009,40,13-03-2020,1094.65,"1,251","15,637","50,000","1,71,17,042",342,62,4
INE225D01027,SYMPHONY,01-04-2009,38,13-03-2020,1079.55,"1,317","13,170","50,000","1,42,17,674",284,60,2
INE871C01038,AVANTIFEED,01-04-2009,15,13-03-2020,315.65,"3,333","33,330","50,000","1,05,20,615",210,56,2
INE031B01049,AJANTPHARM,01-04-2009,52,13-03-2020,1269.4,954,"7,155","50,000","90,82,557",181,54,3
INE429E01023,SAFARI,01-04-2009,14,13-03-2020,494.35,"3,639","18,195","50,000","89,94,698",179,54,1
INE059D01020,LAOPALA,01-04-2009,15,13-03-2020,188.8,"3,333","33,330","50,000","62,92,704",125,49,2
INE205C01021,POLYMED,01-04-2009,41,13-03-2020,270.1,"1,216","19,456","50,000","52,55,066",105,47,4
INE100A01010,ATUL,01-04-2009,44,13-03-2020,4432.6,"1,144","1,144","50,000","50,70,894",101,46,0
INE337A01034,LGBBROSLTD,01-04-2009,8,13-03-2020,211.8,"5,959","23,836","50,000","50,48,465",100,46,2
INE782A01015,JCHAC,01-04-2009,35,13-03-2020,2872.45,"1,436","1,436","50,000","41,24,838",82,44,0
INE716A01013,WHIRLPOOL,01-04-2009,27,13-03-2020,2204.35,"1,841","1,841","50,000","40,58,208",81,44,0
INE048G01026,NAVINFLUOR,01-04-2009,88,13-03-2020,1351.8,566,"2,830","50,000","38,25,594",76,43,1
INE040D01038,MAYURUNIQ,01-04-2009,23,13-03-2020,209.2,"2,197","17,576","50,000","36,76,899",73,43,3
INE690A01010,TTKPRESTIG,01-04-2009,90,13-03-2020,5300,552,662,"50,000","35,08,600",70,42,1
INE787D01026,BALKRISIND,01-04-2009,150,13-03-2020,1019.85,333,"3,330","50,000","33,96,101",67,42,2
INE632C01026,VIDHIING,01-04-2009,1,13-03-2020,55.35,"58,823","58,823","50,000","32,55,853",65,41,0
INE541A01023,GMMPFAUDLR,01-04-2009,44,13-03-2020,2780.25,"1,138","1,138","50,000","31,63,925",63,41,0
INE884A01019,VAIBHAVGBL,01-04-2009,13,13-03-2020,811,"3,773","3,773","50,000","30,59,903",61,40,0
INE769A01020,AARTIIND,01-04-2009,29,13-03-2020,870.55,"1,721","3,442","50,000","29,96,433",59,40,1
INE111F01016,#N/A,01-04-2009,39,13-03-2020,2244.5,"1,287","1,287","50,000","28,88,672",57,40,0
INE987B01026,NATCOPHARM,01-04-2009,49,13-03-2020,562.3,"1,022","5,110","50,000","28,73,353",57,40,1
INE239C01012,#N/A,01-04-2009,7,13-03-2020,402.6,"6,849","6,849","50,000","27,57,407",55,39,0
INE761H01022,PAGEIND,01-04-2009,360,13-03-2020,19964.6,138,138,"50,000","27,55,115",55,39,0
INE051B01021,VAKRANGEE,01-04-2009,26,13-03-2020,35.4,"1,901","76,040","50,000","26,91,816",53,39,3
INE951I01027,VGUARD,01-04-2009,45,13-03-2020,172.95,"1,111","15,554","50,000","26,90,064",53,39,2
INE473B01035,HATSUN,01-04-2009,47,13-03-2020,596.55,"1,058","4,443","50,000","26,50,472",53,39,3
INE577D01013,#N/A,01-04-2009,3,13-03-2020,152.25,"17,241","17,241","50,000","26,24,942",52,39,0
INE761G01016,#N/A,01-04-2009,2,13-03-2020,99.6,"26,041","26,041","50,000","25,93,684",51,38,0
INE150B01021,ALKYLAMINE,01-04-2009,50,13-03-2020,1300.1,996,"1,992","50,000","25,89,799",51,38,1
INE417B01040,DSSL,01-04-2009,0,13-03-2020,20.3,"1,25,000","1,25,000","50,000","25,37,500",50,38,0
INE195A01028,SUPREMEIND,01-04-2009,110,13-03-2020,1103.85,453,"2,265","50,000","25,00,220",50,38,1
INE930H01023,KPRMILL,01-04-2009,21,13-03-2020,520.2,"2,380","4,760","50,000","24,76,152",49,38,1
INE342J01019,WABCOINDIA,01-04-2009,130,13-03-2020,6460.65,383,383,"50,000","24,74,429",49,38,0
INE483B01026,ICIL,01-04-2009,4,13-03-2020,36.35,"13,333","66,665","50,000","24,23,273",48,38,1
INE959A01019,PRIVISCL,01-04-2009,15,13-03-2020,481.15,"3,401","4,937","50,000","23,75,438",47,37,3
INE647A01010,SRF,01-04-2009,75,13-03-2020,3569,665,665,"50,000","23,73,385",47,37,0
INE509F01011,CUPID,01-04-2009,5,13-03-2020,170.85,"11,061","13,273","50,000","22,67,692",45,37,1
INE054A01027,VIPIND,01-04-2009,35,13-03-2020,313.1,"1,432","7,160","50,000","22,41,796",44,37,1
INE845D01014,GANECOS,01-04-2009,6,13-03-2020,263.4,"7,812","7,812","50,000","20,57,681",41,36,0
INE101D01020,GRANULES,01-04-2009,38,13-03-2020,157.1,"1,300","13,000","50,000","20,42,300",40,36,1
INE176B01034,HAVELLS,01-04-2009,148,13-03-2020,600.3,338,"3,380","50,000","20,29,014",40,36,2
INE793A01012,ACCELYA,01-04-2009,24,13-03-2020,979.7,"2,053","2,053","50,000","20,11,324",40,36,0
INE671A01010,HONAUT,01-04-2009,784,13-03-2020,31629.6,63,63,"50,000","19,92,665",39,35,0
